ID,N_VICTIMAS,LUGAR_DEL_HECHO,COMUNA,TIPO_DE_CALLE,LONGITUD,LATITUD,VICTIMA,ACUSADO,FATAL,FECHA_Y_HORA
2052,2,"CASTRO 2131, BARRIO: BOEDO  , JURISDICCIÓN COMISARIA:  VECINAL 5B",5,CALLE,-58.419078,-34.637644,SD,SD,False,2019-01-03 19:00:00
2053,1,"ALVEAR, MARCELO T. DE Y 9 DE JULIO AV. 0, BARRIO: RETIRO  , JURISDICCIÓN COMISARIA:  VECINAL 1A",1,AVENIDA,-58.38184,-34.596726,SD,SD,False,2019-01-03 19:34:00
2054,1,"SAN ISIDRO LABRADOR AV. Y RAMALLO 0, BARRIO: SAAVEDRA  , JURISDICCIÓN COMISARIA:  VECINAL 12A",12,AVENIDA,-58.473539,-34.543295,MOTO,PEATON,False,2019-01-03 18:20:00
2055,1,"TERRADA 3802, BARRIO: AGRONOMIA  , JURISDICCIÓN COMISARIA:  VECINAL 15C",15,AVENIDA,-58.495341,-34.591985,PEATON,SD,False,2019-01-03 20:28:00
2056,1,"ALBERDI, JUAN BAUTISTA AV. Y OLIVERA AV. 0, BARRIO: PARQUE AVELLANEDA  , JURISDICCIÓN COMISARIA:  VECINAL 10C",10,AVENIDA,-58.486064,-34.640477,MOTO,PEATON,False,2019-01-03 20:00:00
2057,1,"NEUQUEN Y ALVAREZ, DONATO, TTE. GRAL. 0, BARRIO: CABALLITO  , JURISDICCIÓN COMISARIA:  VECINAL 7C",7,AVENIDA,-58.4585,-34.615899,MOTO,PEATON,False,2019-01-03 21:50:00
2058,1,"LA PAMPA 1827, BARRIO: BELGRANO  , JURISDICCIÓN COMISARIA:  VECINAL 13A",13,AVENIDA,-58.44917,-34.56181,CICLISTA,PEATON,False,2019-01-04 10:20:00
2059,1,"LARRALDE, CRISOLOGO AV. Y ACHEGA 0, BARRIO: SAAVEDRA  , JURISDICCIÓN COMISARIA:  VECINAL 12A",12,CALLE,-58.505206,-34.567724,CICLISTA,PEATON,False,2019-01-04 13:40:00
2060,2,"PASCO Y CHILE 0, BARRIO: BALVANERA  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,CALLE,-58.39763,-34.617325,MOTO,PEATON,False,2019-01-04 02:49:00
2061,1,"URQUIZA, GRAL. E INDEPENDENCIA AV., BARRIO: SAN CRISTOBAL  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,AVENIDA,-58.409257,-34.620021,MOTO,PEATON,False,2019-01-04 08:00:00
2062,1,"PERON, EVA AV. 7423, BARRIO: MATADEROS  , JURISDICCIÓN COMISARIA:  VECINAL 9A",9,AVENIDA,-58.500852,-34.673463,PEATON,SD,False,2019-01-04 02:00:00
2063,2,"YERBAL Y CALDERON DE LA BARCA, PEDRO 0, BARRIO: VILLA LURO  , JURISDICCIÓN COMISARIA:  VECINAL 10C",10,AVENIDA,-58.496239,-34.636075,MOTO,PEATON,False,2019-01-04 09:45:00
2064,1,"CAMPANA Y BAZURCO 0, BARRIO: VILLA PUEYRREDON  , JURISDICCIÓN COMISARIA:  VECINAL 12B",12,AVENIDA,-58.512465,-34.584012,AUTO,PEATON,False,2019-01-04 09:20:00
2065,1,"RAMSAY 2250, BARRIO: BELGRANO  , JURISDICCIÓN COMISARIA:  VECINAL 13A",13,AUTOPISTA,-58.440762,-34.551161,SD,SD,False,2019-01-04 11:31:00
2066,1,"DEFENSA 993, BARRIO: SAN TELMO  , JURISDICCIÓN COMISARIA:  VECINAL 1E",1,CALLE,-58.371576,-34.619382,PEATON,SD,False,2019-01-04 10:15:00
2067,1,"ALBARELLOS AV. 2367, BARRIO: VILLA PUEYRREDON  , JURISDICCIÓN COMISARIA:  VECINAL 12B",12,CALLE,-58.50378,-34.573907,PEATON,MOTO,False,2019-01-04 09:30:00
2068,1,"OLIDEN Y DIRECTORIO AV. 0, BARRIO: MATADEROS  , JURISDICCIÓN COMISARIA:  VECINAL 9A",9,CALLE,-58.498813,-34.657353,SD,SD,False,2019-01-04 11:45:00
2069,1,"GONZALEZ, ELPIDIO Y CUENCA 0, BARRIO: VILLA SANTA RITA  , JURISDICCIÓN COMISARIA:  VECINAL 11A",11,AVENIDA,-58.486836,-34.611405,MOTO,PEATON,False,2019-01-04 12:19:00
2070,1,"GIRIBONE Y PLAZA 0, BARRIO:   , JURISDICCIÓN COMISARIA:",15,AVENIDA,-58.467221,-34.579471,MOTO,PEATON,False,2019-01-04 12:30:00
2071,1,"LACARRA AV. Y PERON, EVA AV. 0, BARRIO: PARQUE AVELLANEDA  , JURISDICCIÓN COMISARIA:  VECINAL 9C",9,AUTOPISTA,-58.469778,-34.649672,AUTO,PEATON,False,2019-01-04 14:34:00
2072,1,SD,SD,CALLE,-58.451383,-34.634858,MOTO,PEATON,False,2019-01-04 14:50:00
2073,1,"GUAYAQUIL Y VIEL 0, BARRIO: CABALLITO  , JURISDICCIÓN COMISARIA:  VECINAL 6B",6,AUTOPISTA,-58.432988,-34.620044,MOTO,TRANSPORTE_PUBLICO,False,2019-01-04 15:20:00
2074,1,"MONTES DE OCA, MANUEL Y OLAVARRIA 0, BARRIO: BARRACAS  , JURISDICCIÓN COMISARIA:  VECINAL 4D",4,AVENIDA,-58.3743,-34.640305,MOTO,TRANSPORTE_PUBLICO,False,2019-01-04 16:44:00
