,ID,N_VICTIMAS,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO,FECHA_Y_HORA,FATAL
20470,21777,1,SAAVEDRA e INDEPENDENCIA AV.,CALLE,3,-58.402249422635,-34.618754729436,MOTO,AUTO,2021-07-02 10:40:00,False
20471,21778,1,"HUERGO, ING. AV. 610",AVENIDA,1,-58.366629401958,-34.614670771837,MOTO,AUTO,2021-07-02 11:40:00,False
20472,21779,1,YERBAL 3652,CALLE,10,-58.478807805244,-34.632071398624,PEATON,AUTO,2021-07-02 12:30:00,False
20473,21780,1,RIVADAVIA AV. y SALTA,AVENIDA,1,-58.383467956071,-34.608576851352,PEATON,AUTO,2021-07-02 12:40:00,False
20474,21781,1,"PAZ, GRAL. AV. y MONTE",AUTOPISTA,9,-58.502577390365,-34.67326988686,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-07-02 14:30:00,False
20475,21782,1,"PAZ, GRAL. AV. y CONCORDIA",AUTOPISTA,11,-58.516016340596,-34.584758313143,MOTO,AUTO,2021-07-02 14:57:00,False
20476,21783,1,RIVADAVIA AV. y CASTRO BARROS AV.,AVENIDA,5,-58.421011444072,-34.611479483144,MOTO,AUTO,2021-07-02 14:00:00,False
20477,21784,1,"JUSTO, JUAN B. AV. y REPETTO, NICOLAS, DR.",AVENIDA,15,-58.454992738341,-34.602121957633,MOTO,AUTO,2021-07-02 16:00:00,False
20478,21785,1,"TRES ARROYOS y LAMAS, ANDRES",CALLE,11,-58.465744908872,-34.611689607344,MOTO,AUTO,2021-07-02 17:00:00,True
20479,21786,2,"PAZ, GRAL. AV. y PALMAR",AUTOPISTA,9,-58.528819730929,-34.643878159067,AUTO,AUTO,2021-07-02 17:00:00,False
20480,21787,1,ESTADO DE ISRAEL AV. y LERMA,AVENIDA,15,-58.427854383221,-34.598363512925,MOTO,AUTO,2021-07-02 15:38:00,False
20481,21788,1,CASEROS AV. y ZAVALETA,AVENIDA,4,-58.403783481933,-34.636792935457,AUTO,AUTO,2021-07-02 19:00:00,False
20482,21789,1,"ECHAGUE, PEDRO y SOLIS",CALLE,1,-58.389165741463,-34.630201129666,MOTO,AUTO,2021-07-02 19:00:00,False
20483,21790,1,CONGRESO AV. y AIZPURUA,AVENIDA,12,-58.498492601179,-34.574139564614,MOTO,AUTO,2021-07-02 20:00:00,False
20484,21791,1,"PUEYRREDON AV. y FIGUEROA ALCORTA, PRES. AV.",AVENIDA,2,-58.390565937948,-34.584185691079,MOTO,OBJETO FIJO,2021-07-02 22:00:00,False
20485,21792,2,"PEPIRI y ALCORTA, AMANCIO AV.",CALLE,4,-58.407407863824,-34.65170653138,AUTO,AUTO,2021-07-02 22:30:00,False
20486,21793,1,"PUEYRREDON, HONORIO, DR. AV. y VIALE, LUIS",AVENIDA,15,-58.447858477328,-34.604697576808,PEATON,AUTO,2021-07-02 23:30:00,False
20488,21795,1,"ALBERDI, JUAN BAUTISTA AV. y OLIDEN",AVENIDA,9,-58.504070996121,-34.653033720172,PEATON,TRANSPORTE_PUBLICO,2021-07-02 11:45:00,False
20489,21796,1,GUARDIA NACIONAL y ARTIGAS MANUEL DE,CALLE,9,-58.49720452079,-34.644695419492,MOTO,AUTO,2021-07-02 21:40:00,False
20491,21798,1,ESTADO DE ISRAEL AV. y LERMA,AVENIDA,15,-58.427854383221,-34.598363512925,MOTO,AUTO,2021-07-03 02:00:00,False
20492,21799,1,SD,AVENIDA,1,-58.4093914487395,-34.6138452404615,PEATON,MOTO,2021-07-03 07:28:00,False
20493,21800,1,ENTRE RIOS AV. y BRASIL,AVENIDA,4,-58.390928514258,-34.629326967998,PEATON,AUTO,2021-07-03 09:55:00,False
20494,21801,1,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",AUTOPISTA,12,-58.500738109269,-34.5497951022,AUTO,AUTO,2021-07-03 13:00:00,False
20495,21802,1,"RECUERO, CASIMIRO, TTE. CNEL. y CULPINA",CALLE,7,-58.458601951884,-34.641205223755,MOTO,PEATON,2021-07-03 11:45:00,False
20496,21803,1,"PAZ, GRAL. AV. y CERVANTES",AUTOPISTA,11,-58.526962863484,-34.608096986762,CAMION,AUTO,2021-07-03 15:00:00,False
20497,21804,1,9 DE JULIO AV. y ARROYO,AVENIDA,1,-58.382066363241,-34.591585527472,MOTO,AUTO,2021-07-03 14:50:00,True
20498,21805,1,GURRUCHAGA y HONDURAS,CALLE,14,-58.429230040673,-34.589346713721,MOTO,AUTO,2021-07-03 14:05:00,False
20499,21806,1,"CORRIENTES AV. y LACROZE, FEDERICO AV.",AVENIDA,15,-58.455118992156,-34.586981576311,MOTO,TRANSPORTE_PUBLICO,2021-07-03 14:54:00,False
20500,21807,1,CALLAO AV. y CORRIENTES AV.,AVENIDA,3,-58.392289656654,-34.604435273925,AUTO,AUTO,2021-07-03 19:00:00,False
20501,21808,1,SAN JUAN AV. 2343,AVENIDA,3,-58.3984892227,-34.6231347577,MOTO,MOTO,2021-07-03 19:40:00,False
20502,21809,1,BOLIVAR 1257,CALLE,1,-58.372981290818,-34.622604182072,MOTO,AUTO,2021-07-03 14:50:00,False
20505,21812,1,"DIAZ, AVELINO 1377",CALLE,7,-58.439428136,-34.637055722656,MOTO,AUTO,2021-07-03 22:00:00,False
20506,21813,1,"JUSTO, JUAN B. AV. y NICARAGUA",AVENIDA,14,-58.431672404915,-34.583100006599,MOTO,AUTO,2021-07-03 22:30:00,False
20507,21814,1,"IRIARTE, GRAL. AV. e IGUAZU",AVENIDA,4,-58.40466627273,-34.650457770468,AUTO,AUTO,2021-07-03 21:15:00,False
